trial_id,parameters,auc,primary_metric
855,595,0.9477338135035621,0.8429744120021406
854,501,0.9467934928655766,0.8425816575507723
850,415,0.9472311819742794,0.8416540434962705
852,267,0.9429565832493333,0.8396760607242524
847,265,0.9433331563886478,0.8374643603302885
846,211,0.9444817854042882,0.835484865801337
840,121,0.9430157843156357,0.8338467259880088
843,85,0.9064539510793683,0.7616043973985687
826,79,0.9046777009160085,0.7313892139166297
853,67,0.9005579129737527,0.7179439500999271
822,45,0.8604219564429179,0.6068627717761027
827,31,0.8527676089501868,0.5551745928082699
