trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%
850,501,0.9467375435660828,0.8389198799060291,0.8679087261633726,0.8422935166792143,0.8126177280712098
854,595,0.9466733943515554,0.8382096564985895,0.8663062638136789,0.8413411098110002,0.8132012662476076
855,267,0.9426695701841641,0.8363925246643144,0.8637695356789754,0.8403403267209085,0.8088867119589044
833,281,0.944157375386754,0.8338833105058037,0.8619040276228227,0.837909421571562,0.8057815632171397
838,193,0.9445982833523752,0.8338618435573455,0.8607943980335065,0.8399895991122963,0.7989484218769369
847,391,0.9422852404123221,0.8328919003087007,0.8584572218140478,0.8364369703181643,0.8077014945229046
856,337,0.943071147192886,0.8320329200189875,0.8632706558908633,0.8358473851140318,0.8030634242503953
844,325,0.9424173537695357,0.8311600315654849,0.8608216096583127,0.8348647431071443,0.8033627521232626
834,235,0.944958933992152,0.8300153292153074,0.8614928297368636,0.8341693349176547,0.7997375589963143
842,463,0.9423609809700368,0.8298910627953594,0.8599659552338537,0.8335525380887159,0.8020384530493649
852,415,0.9412948128213451,0.8282774134443568,0.8592403119056906,0.8330536583006038,0.7960791072168253
836,121,0.9388993287785602,0.8282063608684741,0.8565372905082829,0.8329055061211038,0.7975938876643658
837,331,0.9427272338192478,0.8258335071853807,0.853752634236457,0.830332495819992,0.7961274834387028
829,199,0.9433686275502379,0.8248904732101554,0.8578313544435072,0.8277625090327476,0.7983679072144064
831,155,0.9388890645906777,0.8225182242298354,0.8542575610523038,0.826692185123707,0.7920396926900506
840,121,0.937537838567093,0.8162919021228091,0.8510163541865085,0.8237079769366362,0.7729734142425644
849,85,0.9354657172485851,0.8149165056645532,0.8409782881469186,0.8187645317635249,0.7884175230769697
858,105,0.9362614266878203,0.8122282994850955,0.8472430088800602,0.8179753946441475,0.7746061117309314
845,265,0.9316808843565192,0.8093574730680502,0.8432791821999692,0.8146616234455359,0.7738320921808908
853,205,0.9202206021365533,0.7820587710625534,0.805294777484497,0.7850100229484702,0.760111386250873
830,91,0.9214100097877284,0.7797826698232152,0.8184289217242495,0.7844597434246132,0.7440897862678046
848,163,0.9175952137023798,0.779762412280304,0.8133101127468321,0.7843992731472663,0.7467595490126715
821,145,0.9207074765887746,0.7765109254673597,0.8121339658524344,0.7817960277074811,0.7402015474343973
841,211,0.9216013531308106,0.7760734230107547,0.8126449396960159,0.7796432858339305,0.7452931447870086
820,171,0.909106199555594,0.744546336861774,0.7683444145116571,0.7496288636727833,0.7148584541983002
824,61,0.8822279981596747,0.6986877949815717,0.7266199231422774,0.7020478259423537,0.6729616225384818
826,79,0.8880494867896274,0.6979975267656564,0.7338763564239088,0.7012103126010987,0.6688133615124825
823,121,0.8827553694839225,0.6941032409045144,0.7208178000308398,0.6967990058686404,0.6713107839669107
825,99,0.8922295600327944,0.6859636392222312,0.7359988631587859,0.6948518629380693,0.6298372442485207
851,67,0.8394530598560263,0.6658754130875821,0.6959010222500386,0.6686803269023194,0.6410454101547737
839,65,0.8351328839364829,0.6543609652265671,0.689488149337397,0.6558848162157096,0.6314638947091531
822,45,0.8534839025694644,0.5772801073952125,0.6225808109668896,0.5777783824805512,0.5528857928106887
835,43,0.8392737985471621,0.5495895579925077,0.6140363607777687,0.5519394329702093,0.5091415941779217
828,19,0.7808397630276929,0.5215077658953683,0.5353101066998044,0.5215410245479091,0.5144901902092573
827,31,0.854693929802508,0.5189135909971851,0.5817331386190403,0.5180639836004608,0.4904774430747927
843,55,0.5,0.0,0.0,0.0,0.0
846,31,0.5,0.0,0.0,0.0,0.0
832,25,0.5,0.0,0.0,0.0,0.0
857,37,0.5,0.0,0.0,0.0,0.0
859,151,0.5,0.0,0.0,0.0,0.0
